traderId,userName,firstName,lastName,initialCash,finalCash,288_303_initial,288_303_final,288_303_bought,288_303_sold,240_251_initial,240_251_final,240_251_bought,240_251_sold,212_227_initial,212_227_final,212_227_bought,212_227_sold,192_201_initial,192_201_final,192_201_bought,192_201_sold,160_167_initial,160_167_final,160_167_bought,160_167_sold,140_147_initial,140_147_final,140_147_bought,140_147_sold,137_144_initial,137_144_final,137_144_bought,137_144_sold,121_129_initial,121_129_final,121_129_bought,121_129_sold,120_127_initial,120_127_final,120_127_bought,120_127_sold,106_113_initial,106_113_final,106_113_bought,106_113_sold,82_86_initial,82_86_final,82_86_bought,82_86_sold,80_84_initial,80_84_final,80_84_bought,80_84_sold
860,Surfer21,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,Surfer22,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,Surfer2,,,25.0,29.0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
863,Surfer10,,,25.0,25.75,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,3,3,0,0,5,3,0,2,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0
864,Surfer1,,,25.0,33.1,0,0,0,0,7,2,0,5,0,0,0,0,4,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,Surfer20,,,25.0,33.05,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,4,4,0,3,7
866,Surfer11,,,25.0,26.3,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
867,Surfer12,,,25.0,27.85,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,4,3,0,1,0,0,0,0,1,0,0,1
868,Surfer13,,,25.0,27.25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,1,1,2,1,0
869,Surfer14,,,25.0,24.3,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,5,2,0,3,4,2,0,2,0,0,0,0,0,0,0,0
870,Surfer15,,,25.0,20.85,4,4,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0
871,Surfer16,,,25.0,15.4,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,5,5,0,0,0,3,3,0,0,0,0,0,0,5,5,0,0,4,4,0,0,0,0,0,0,7,7,0,0,0,6,6
872,Surfer17,,,25.0,21.5,3,3,0,0,0,0,7,7,4,9,5,0,0,2,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,Surfer18,,,25.0,31.6,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
874,Surfer19,,,25.0,16.05,4,4,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,0,0,4,4,9,5,0
875,Surfer7,,,25.0,20.15,1,2,1,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,2,2,0,3,5,2,0,2,2,0,0
876,Surfer8,,,25.0,29.15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,4,2,0,2,4,1,0,3
877,Surfer9,,,25.0,32.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,5,0,0,5,0,0,1,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
878,Surfer3,,,25.0,26.5,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,1,0,5,4,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
879,Surfer4,,,25.0,10.9,0,1,1,0,0,3,3,0,0,1,1,0,0,5,5,0,4,10,6,0,3,4,1,0,0,7,7,0,0,0,0,0,1,5,4,0,4,4,0,0,0,0,0,0,0,0,0,0
880,Surfer5,,,25.0,26.9,0,0,0,0,4,4,0,0,0,0,0,0,4,2,0,2,0,0,0,0,2,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,Surfer6,,,25.0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,3,3,0,8,9,1,0,0,0,0,0,0,0,0,0

Market [288_303] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
871,,,sell,9045,869,,,buy,9006,2016-09-20 04:28:35.0,0.65,1
871,,,sell,9049,875,,,buy,8989,2016-09-20 04:28:39.0,0.6,1
871,,,sell,9053,879,,,buy,9051,2016-09-20 04:28:49.0,0.6,1

Market [240_251] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
872,,,buy,8879,864,,,sell,8868,2016-09-20 04:23:54.0,0.75,1
873,,,sell,8915,872,,,buy,8879,2016-09-20 04:24:48.0,0.75,1
872,,,buy,8929,864,,,sell,8928,2016-09-20 04:25:14.0,0.8,1
872,,,buy,8930,864,,,sell,8928,2016-09-20 04:25:17.0,0.8,1
869,,,buy,8931,864,,,sell,8928,2016-09-20 04:25:18.0,0.8,1
872,,,buy,8933,864,,,sell,8928,2016-09-20 04:25:18.0,0.8,1
872,,,buy,8940,873,,,sell,8936,2016-09-20 04:25:32.0,0.6,1
872,,,buy,8942,873,,,sell,8936,2016-09-20 04:25:33.0,0.6,1
873,,,sell,8979,877,,,buy,8794,2016-09-20 04:26:51.0,0.55,1
876,,,buy,9005,877,,,sell,8996,2016-09-20 04:27:24.0,0.85,1
872,,,sell,9019,879,,,buy,9009,2016-09-20 04:27:44.0,0.6,1
872,,,sell,9030,879,,,buy,9021,2016-09-20 04:28:03.0,0.6,1
872,,,sell,9038,869,,,buy,8921,2016-09-20 04:28:23.0,0.55,1
872,,,sell,9039,869,,,buy,8921,2016-09-20 04:28:27.0,0.55,2
872,,,sell,9059,879,,,buy,9041,2016-09-20 04:28:56.0,0.55,1
872,,,sell,9069,863,,,buy,9065,2016-09-20 04:29:19.0,0.55,1

Market [212_227] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
872,,,buy,8796,865,,,sell,8792,2016-09-20 04:21:50.0,0.5,1
870,,,buy,8811,871,,,sell,8799,2016-09-20 04:22:11.0,0.55,2
879,,,buy,8818,865,,,sell,8815,2016-09-20 04:22:21.0,0.45,1
872,,,buy,8832,865,,,sell,8814,2016-09-20 04:22:39.0,0.5,1
872,,,buy,8835,871,,,sell,8799,2016-09-20 04:22:42.0,0.55,2
872,,,buy,8897,865,,,sell,8895,2016-09-20 04:24:23.0,0.6,1

Market [192_201] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
879,,,buy,8877,868,,,sell,8869,2016-09-20 04:23:48.0,0.55,1
872,,,buy,8913,864,,,sell,8802,2016-09-20 04:24:46.0,0.75,1
868,,,sell,8939,862,,,buy,8880,2016-09-20 04:25:30.0,0.5,1
878,,,sell,8943,863,,,buy,8922,2016-09-20 04:25:35.0,0.5,1
878,,,sell,8944,865,,,buy,8785,2016-09-20 04:25:37.0,0.4,1
879,,,buy,8953,865,,,sell,8949,2016-09-20 04:25:50.0,0.65,1
878,,,sell,8961,865,,,buy,8958,2016-09-20 04:26:10.0,0.55,1
872,,,buy,8967,865,,,sell,8962,2016-09-20 04:26:25.0,0.7,1
878,,,sell,8973,865,,,buy,8970,2016-09-20 04:26:40.0,0.65,1
865,,,sell,8986,874,,,buy,8983,2016-09-20 04:26:57.0,0.7,1
874,,,buy,8988,864,,,sell,8985,2016-09-20 04:27:00.0,0.85,1
874,,,buy,8990,864,,,sell,8985,2016-09-20 04:27:04.0,0.85,1
874,,,buy,8993,864,,,sell,8985,2016-09-20 04:27:08.0,0.85,1
880,,,sell,8999,879,,,buy,8982,2016-09-20 04:27:16.0,0.6,1
874,,,buy,9004,868,,,sell,9000,2016-09-20 04:27:22.0,0.5,1
879,,,buy,9016,880,,,sell,9013,2016-09-20 04:27:42.0,0.6,1
879,,,buy,9026,868,,,sell,9024,2016-09-20 04:27:56.0,0.65,1

Market [160_167] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
872,,,sell,8843,877,,,buy,8788,2016-09-20 04:22:52.0,0.25,1
872,,,sell,8843,862,,,buy,8778,2016-09-20 04:22:52.0,0.2,1
879,,,buy,8873,877,,,sell,8872,2016-09-20 04:23:44.0,0.5,1
866,,,sell,8876,879,,,buy,8858,2016-09-20 04:23:47.0,0.4,1
872,,,sell,8881,879,,,buy,8858,2016-09-20 04:24:03.0,0.4,2
866,,,sell,8889,863,,,buy,8860,2016-09-20 04:24:10.0,0.4,1
879,,,buy,8900,862,,,sell,8865,2016-09-20 04:24:32.0,0.6,1
866,,,sell,8919,876,,,buy,8898,2016-09-20 04:24:54.0,0.5,1
869,,,buy,8963,864,,,sell,8954,2016-09-20 04:26:15.0,0.85,1
872,,,sell,8974,879,,,buy,8972,2016-09-20 04:26:41.0,0.55,1
866,,,sell,8991,878,,,buy,8948,2016-09-20 04:27:05.0,0.5,1

Market [140_147] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
871,,,buy,8807,877,,,sell,8803,2016-09-20 04:22:08.0,0.5,1
871,,,buy,8809,877,,,sell,8768,2016-09-20 04:22:11.0,0.7,1
878,,,sell,8845,871,,,buy,8809,2016-09-20 04:22:54.0,0.7,1
879,,,buy,8950,877,,,sell,8857,2016-09-20 04:25:47.0,0.75,1

Market [137_144] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
878,,,buy,8793,877,,,sell,8771,2016-09-20 04:21:37.0,0.75,1
879,,,buy,8813,863,,,sell,8801,2016-09-20 04:22:12.0,0.2,2
879,,,buy,8823,877,,,sell,8817,2016-09-20 04:22:29.0,0.25,1
879,,,buy,8826,877,,,sell,8819,2016-09-20 04:22:32.0,0.3,1
870,,,buy,8864,873,,,sell,8855,2016-09-20 04:23:25.0,0.6,2
865,,,buy,8885,877,,,sell,8878,2016-09-20 04:24:04.0,0.5,1
870,,,buy,8911,865,,,sell,8887,2016-09-20 04:24:44.0,0.65,1
879,,,buy,8955,877,,,sell,8947,2016-09-20 04:25:56.0,0.5,1
873,,,sell,8957,879,,,buy,8927,2016-09-20 04:26:00.0,0.45,2

Market [121_129] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
871,,,buy,8827,862,,,sell,8822,2016-09-20 04:22:32.0,0.6,1
871,,,buy,8830,862,,,sell,8769,2016-09-20 04:22:36.0,0.7,2
880,,,sell,8839,871,,,buy,8830,2016-09-20 04:22:46.0,0.7,1
862,,,sell,8935,871,,,buy,8830,2016-09-20 04:25:25.0,0.7,1
862,,,sell,9010,878,,,buy,8984,2016-09-20 04:27:34.0,0.7,1
874,,,buy,9011,862,,,sell,8971,2016-09-20 04:27:34.0,0.85,1
862,,,sell,9035,874,,,buy,8840,2016-09-20 04:28:13.0,0.65,1
874,,,buy,9040,876,,,sell,8923,2016-09-20 04:28:30.0,0.9,1
874,,,buy,9043,876,,,sell,8795,2016-09-20 04:28:33.0,0.95,1
878,,,sell,9044,877,,,buy,9037,2016-09-20 04:28:34.0,0.8,1
877,,,sell,9061,874,,,buy,8840,2016-09-20 04:28:59.0,0.65,1
875,,,sell,9084,874,,,buy,8840,2016-09-20 04:29:44.0,0.65,1

Market [120_127] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
871,,,buy,8821,877,,,sell,8774,2016-09-20 04:22:25.0,0.7,1
871,,,buy,8821,863,,,sell,8816,2016-09-20 04:22:25.0,0.7,2
870,,,sell,8829,871,,,buy,8821,2016-09-20 04:22:33.0,0.7,1
879,,,buy,8870,867,,,sell,8866,2016-09-20 04:23:39.0,0.55,1
879,,,buy,8886,877,,,sell,8883,2016-09-20 04:24:07.0,0.5,1
865,,,buy,8901,877,,,sell,8899,2016-09-20 04:24:33.0,0.55,1
881,,,buy,8903,877,,,sell,8890,2016-09-20 04:24:35.0,0.6,1
865,,,sell,8910,879,,,buy,8906,2016-09-20 04:24:42.0,0.6,1
879,,,buy,8912,869,,,sell,8908,2016-09-20 04:24:45.0,0.65,1
881,,,buy,8920,869,,,sell,8908,2016-09-20 04:24:57.0,0.65,2
875,,,buy,9015,867,,,sell,8937,2016-09-20 04:27:42.0,0.9,1
875,,,buy,9015,863,,,sell,8959,2016-09-20 04:27:42.0,0.9,1

Market [106_113] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
878,,,buy,8825,869,,,sell,8820,2016-09-20 04:22:30.0,0.6,1
881,,,buy,8914,869,,,sell,8888,2016-09-20 04:24:46.0,0.7,1
878,,,sell,9052,875,,,buy,9022,2016-09-20 04:28:46.0,0.7,1
867,,,sell,9067,875,,,buy,9022,2016-09-20 04:29:10.0,0.7,1

Market [82_86] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
878,,,buy,8804,865,,,sell,8783,2016-09-20 04:22:03.0,0.55,1
870,,,buy,8848,865,,,sell,8775,2016-09-20 04:23:02.0,0.7,1
870,,,buy,8848,876,,,sell,8824,2016-09-20 04:23:02.0,0.7,1
871,,,buy,8852,865,,,sell,8776,2016-09-20 04:23:08.0,0.75,1
871,,,buy,8856,865,,,sell,8777,2016-09-20 04:23:10.0,0.8,1
874,,,sell,8941,871,,,buy,8856,2016-09-20 04:25:32.0,0.8,3
874,,,sell,8951,871,,,buy,8852,2016-09-20 04:25:47.0,0.75,1
868,,,sell,8952,871,,,buy,8852,2016-09-20 04:25:50.0,0.75,1
875,,,buy,9033,876,,,sell,8960,2016-09-20 04:28:11.0,0.85,1
878,,,sell,9060,875,,,buy,9033,2016-09-20 04:28:57.0,0.85,1

Market [80_84] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
862,,,buy,8805,865,,,sell,8789,2016-09-20 04:22:05.0,0.45,1
878,,,buy,8810,865,,,sell,8773,2016-09-20 04:22:11.0,0.55,1
873,,,sell,8837,862,,,buy,8805,2016-09-20 04:22:46.0,0.45,1
871,,,buy,8838,873,,,sell,8837,2016-09-20 04:22:46.0,0.4,1
871,,,buy,8838,876,,,sell,8834,2016-09-20 04:22:46.0,0.5,1
871,,,buy,8841,865,,,sell,8772,2016-09-20 04:22:49.0,0.6,1
871,,,buy,8842,865,,,sell,8770,2016-09-20 04:22:51.0,0.65,1
876,,,sell,8854,871,,,buy,8842,2016-09-20 04:23:09.0,0.65,1
873,,,sell,8882,871,,,buy,8842,2016-09-20 04:24:03.0,0.65,1
